"family1","family13","family25","family37","family49","family61","family73","family85","family97","family109","family121","family133","family145","family157","family169","family181","family193","family205","family217","family229","family241","family253"
"S","S","LAT","S","S","S","S","LAT","LAT","COH","COH","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+"
"S","LAT","LAT","LAT","COH","COH","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","LATc","LATc","LATc","LATc","LATc","LATc","LATc"
"LAT","S","S","S","LAT","LAT","LAT","LAT","COH","COH","COH","COH","COH","COH","COH","COH","COH","LAT","LAT","LAT","COH","COH"
"S","S","S","S","S","COH","COH","COH","COH","COH","MAR","MAR","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","COHc","COHc","COHc","COHc","COHc"
"S","LAT","LAT","LAT","LAT","LAT","COH","COH","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"COH","COH","COH","COH","COH","COH","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR"
"S","S","S","S","S","S","LAT","COH","COH","COH","COH","COH","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","COH","COH","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","LAT","COH","COH","COH","COH","COH","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"LAT","COH","COH","MAR","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","LAT","LAT","COH","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","LATc","LATc","COHc","LATc","LATc","COHc"
"LAT","LAT","LAT","LAT","LAT","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COHc","COHc","COHc"
"S","LAT","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","LAT","COH","COH","COH","COH","COH","COH","COH","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","LAT","S","S","S","LAT","LAT","COH","COH","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR"
"S","S","S","LAT","LAT","LAT","COH","COH","S","S","COH","COH","COH","COH","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","COH","COH","COH","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","S","S","COH","COH","COHc","COHc","COHc","COHc","MARc2+","MARc2+","MARc2+","MARc2+"
"COH","S","S","LAT","COH","COH","S","S","S","S","COH","COH","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"S","S","S","LAT","S","LAT","COH","COH","COH","COH","COH","COH","MAR","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","S","LAT","LAT","LAT","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","COH","MAR","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"S","S","S","S","S","S","S","COH","COHc","COHc","COHc","COHc","Sc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","MARc2+"
"LAT","LAT","LAT","LAT","LAT","LAT","LAT","COH","COH","COH","COH","MAR","MAR","COH","COH","COH","COH","COH","COH","MAR","MAR","MAR"
"S","S","S","S","LAT","LAT","LAT","LAT","COH","COH","COH","COH","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","Sc","Sc","Sc"
"S","S","S","S","S","S","LAT","LAT","LAT","COH","COH","COH","COH","COH","COH","COHc","COHc","COHc","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","COH","COH","COH","COH","COH","COH","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc"
"LAT","LAT","LAT","LAT","LAT","LAT","COH","COH","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","LAT","LAT","S","S","COH","COH","COH","COH","COH","S","S","COH","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+"
"S","LAT","LAT","LAT","LAT","LAT","LAT","LAT","S","S","LAT","LAT","LAT","LAT","LAT","LAT","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+"
"MAR","MAR","S","S","S","S","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","LAT","LAT","LAT","LAT","LAT","COH","COH","COH","COH","COH","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","S","LAT","LAT","LAT","COH","COH","S","S","LAT","COH","COHc","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","S","S","S","S","LAT","S","S","S","S","LAT","S","S","S","S","S"
"S","S","LAT","LAT","LAT","LAT","LAT","S","S","LAT","LAT","LAT","MAR","MAR","MAR","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","S","S","S","S","LAT","LAT","LAT","LAT","LAT","COH","COH","COH","COH","COH","COH","MAR","MARc1","MARc1","MARc2+","MARc2+"
"S","COH","COH","COH","COH","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","LAT","LAT","LAT","COH","S","S","S","LAT","LAT","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"S","S","S","S","S","S","S","S","S","S","S","S","LAT","LAT","COH","COH","COH","COH","COH","COH","COH","COH"
"S","S","S","S","S","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR"
"LAT","LAT","LAT","COH","COH","COH","COH","COH","COH","MAR","MAR","MAR","LATc","COHc","COHc","COHc","Sc","Sc","Sc","Sc","LATc","LATc"
"S","S","S","S","S","S","S","S","S","LAT","S","S","S","S","S","S","S","S","S","S","S","S"
"S","S","S","LAT","COH","COH","COH","COH","COH","COH","COHc","COHc","COHc","COHc","COHc","COHc","COHc","MARc2+","COHc","COHc","COHc","COHc"
"S","LAT","LAT","COH","COH","COH","COH","COH","COH","COH","COH","COHc","COHc","COHc","COHc","COHc","COHc","MARc1","MARc1","MARc1","MARc1","MARc1"
"LAT","COH","COH","COH","COH","COH","LAT","LAT","LAT","LAT","COH","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR"
"LAT","LAT","COH","COH","COH","COH","COH","COH","LAT","LAT","S","S","S","LAT","LATc","COHc","LATc","COHc","COHc","COHc","COHc","COHc"
"LAT","LAT","LAT","LAT","S","S","LAT","LAT","LAT","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","LAT","LAT","S","S","S","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","COH","COH","MAR","MAR","MAR","MAR","MARc1","MARc1"
"S","S","S","S","S","COH","MAR","MAR","MARc1","MARc1","LATc","LATc","LATc","LATc","LATc","LATc","LATc","LATc","LATc","LATc","LATc","LATc"
"S","S","S","COH","COH","LAT","LAT","S","Sc","Sc","Sc","Sc","Sc","LATc","LATc","Sc","Sc","LATc","COHc","COHc","COHc","COHc"
"LAT","LAT","LAT","COH","COH","COH","COH","COH","COH","COH","COH","COH","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"S","S","S","S","LAT","S","LAT","LAT","COH","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"LAT","LAT","S","S","COH","MARc1","MARc1","MARc2+","MARc2+","MARc2+","Sc","Sc","Sc","Sc","Sc","LATc","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","LAT","LAT","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","COH","COH","COH","COH","COH","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+"
"LAT","LAT","LAT","LAT","LAT","LAT","MAR","COH","COH","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc"
"S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"S","S","S","COH","COH","COH","COH","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc"
"LAT","LAT","LAT","LAT","LAT","S","COH","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"S","S","S","S","S","LAT","LAT","LAT","LAT","LAT","LAT","LAT","COH","COH","COH","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc2+"
"S","LAT","LAT","LAT","LAT","LAT","LAT","LAT","COH","COH","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","S","LAT","LAT","LAT","LAT","LATc","LATc","COHc","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","Sc","LATc"
"S","LAT","COH","LAT","LAT","LATc","LATc","Sc","Sc","LATc","LATc","COHc","COHc","COHc","COHc","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"S","S","S","S","S","S","S","S","S","S","S","S","S","LAT","LAT","COH","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","COH","COH","S","S","COH","COH","COH","COH","COH","COHc","COHc","COHc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","LATc"
"LAT","LAT","LAT","LAT","COH","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR"
"S","LAT","LAT","LAT","LAT","S","S","S","LAT","COH","COH","MAR","MAR","S","S","S","S","S","S","LAT","LATc","Sc"
"LAT","LAT","LAT","LAT","LAT","COH","COH","COH","COH","COH","COH","COH","MAR","COH","COH","COH","COH","MAR","MARc1","MARc1","MARc1","MARc1"
"LAT","LAT","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","LAT","LAT","LAT","LAT","COH","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"S","S","COH","COH","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","LAT","LAT","S","S","S","LAT","LAT","LAT","S","LAT","LAT","LAT","S","S","LAT","COH","COHc","COHc","MARc1"
"MAR","MAR","MAR","MAR","MAR","COH","COHc","COHc","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","LAT","LAT","LAT","COH","MAR","MAR","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","LATc","COHc"
"S","S","S","S","S","S","LAT","LAT","LAT","S","LAT","COH","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","COHc","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"LAT","LAT","S","S","LAT","COH","COH","COH","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","COH","COH","COH","COH","COH"
"S","S","S","S","S","S","S","S","S","S","S","S","LAT","LAT","COH","COH","S","S","S","S","S","S"
"S","LAT","LAT","LAT","LAT","LAT","MAR","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","COH","COH","S","S","LAT","LAT","COH","COH","COH","COH","COH","COH","COH","COHc"
"S","S","S","S","S","S","LAT","LAT","LATc","LATc","LATc","LATc","COHc","COHc","COHc","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"S","S","S","S","S","LAT","COH","COH","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","S","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT"
"S","LAT","LAT","COH","COH","COH","COH","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","S","S","S","S","S","S","S","S","S","S","S","S","S","S","LAT","LAT","LAT","LAT","LAT","LAT"
"LAT","LAT","COH","COH","COH","COH","COH","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR"
"S","S","S","S","S","S","S","S","S","S","LAT","LAT","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH"
"S","S","LAT","LAT","LAT","S","S","LAT","S","S","S","S","S","S","COH","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"COH","COH","MAR","MAR","MAR","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"S","S","S","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","S","S","S","S","S","S","S","S","S"
"LAT","S","S","S","S","S","S","S","S","S","S","LAT","COH","COH","COH","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc1"
"S","S","S","S","S","S","S","S","COH","COH","COH","COH","COH","MAR","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","COH","COH","COH","COHc","COHc","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"S","S","S","S","S","S","COH","COH","COH","COH","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","Sc","Sc","LATc","LATc","COHc"
"S","LAT","LAT","LAT","LAT","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","S","S","S","S","S","S","S","LAT","LAT","COH","MAR","MARc1","MARc1","MARc1","MARc1"
"S","S","S","LAT","COH","COH","COH","COH","COH","COH","COH","COH","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","COH","MAR","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","S","S","S","S","S","S","S","COH","COH","COH","COH","MAR","MAR","MAR","MAR"
"S","S","S","LAT","LAT","LAT","LAT","LAT","LAT","COH","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","S","S","LAT"
"S","S","LAT","LAT","LAT","LAT","LAT","LAT","LAT","MAR","MAR","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","S","S","S","S","S","S","LAT","COH","COH","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR"
"S","S","LAT","LAT","S","S","S","S","COH","COH","COH","COH","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","LAT","S","LAT","COH","COH","MAR","MAR","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc1","LATc","LATc","LATc","LATc","COHc"
"LAT","LAT","LAT","LAT","LAT","S","MAR","MAR","MAR","LAT","LAT","LAT","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc"
"S","S","S","S","S","LAT","LAT","LAT","LAT","LAT","LAT","COH","COH","COH","MAR","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","COH","COH","COH","COH","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","COH","COH","MAR","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","LAT","LAT","LAT","S","LAT","LAT","LAT","LAT","LAT","COH","COH","COH","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc"
"S","S","LAT","LAT","S","S","LAT","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","LAT","S","S","COH","COH","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LATc","LATc","LATc","LATc","COHc","COHc","COHc","COHc","COHc","COHc","Sc","Sc","LATc","LATc","LATc","LATc","LATc","LATc","LATc","LATc","LATc","LATc"
"LAT","LAT","LAT","LAT","LAT","COH","COH","COH","COH","COH","COHc","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"S","S","S","S","S","S","S","LAT","LAT","LAT","LAT","S","S","COH","COH","COH","COH","MARc1","MARc1","MARc2+","MARc2+","MARc2+"
"S","S","S","LAT","LAT","COH","COH","COH","COH","COH","COH","COH","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","LAT","LAT","LAT","LAT","LAT","LAT","LAT","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","LAT","COH","COH","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc"
"LAT","LAT","LAT","LAT","LAT","LAT","LAT","COH","COH","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR"
"S","S","S","LAT","LAT","S","S","LAT","LAT","LAT","LAT","COH","MAR","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","LAT","LAT","LAT","LAT","S","S","LAT","LAT","LAT","S","S","S","S","S","S","S","S","S","S"
"S","S","S","LAT","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","LAT","LAT","LAT","LAT","LAT","LAT","LAT","MAR","MARc1","MARc1","MARc1","LATc","COHc","COHc","COHc","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","S","S","S","COH","COH","COH","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","S","S","S","S","S","S","S","LAT","S","S","S","S","S","LAT","LAT","LAT","LAT","LAT","LAT"
"S","LAT","LAT","COH","S","S","LAT","LAT","LAT","LAT","LAT","S","S","S","LAT","S","S","S","S","S","S","S"
"LAT","LAT","COHc","COHc","MARc2+","MARc2+","MARc2+","MARc2+","COHc","COHc","COHc","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","LAT","LAT","LAT","COH","COH","COH","MAR","MARc1","MARc1","LATc","LATc","LATc","LATc","Sc","Sc","Sc","Sc","MARc1","MARc1","MARc2+","MARc2+"
"LAT","LAT","LAT","S","S","S","S","LAT","LAT","LAT","COH","COH","COH","COH","COH","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc2+"
"LAT","LAT","LAT","LAT","S","S","LAT","LAT","S","S","S","S","LAT","S","S","S","S","S","S","S","S","S"
"S","S","S","S","S","S","S","S","S","S","S","S","S","LAT","LAT","LAT","COH","S","S","S","S","S"
"LAT","LAT","S","S","S","S","LAT","LAT","COH","COH","COH","COH","COHc","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","LAT","LAT","LAT","LAT","LAT","COH","COH","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc"
"S","LAT","LAT","LAT","LAT","LAT","MAR","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","LAT","LAT","LAT","LAT","LAT","COH","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc1"
"S","LAT","LAT","LAT","LAT","COH","COH","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","Sc","COHc","COHc","Sc"
"S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","COH","COH","COH","COH","COH"
"S","LAT","LAT","S","COH","COH","COH","COH","COHc","COHc","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"S","S","S","S","S","S","S","S","S","S","S","LAT","LAT","LAT","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","LAT","LAT","LAT","COH","MAR","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","S","S","S","LAT","LAT","S","S","S","S","LAT","LAT","COH","COH","COH","COH","COH","COH","COH","COH","COH"
"S","LAT","LAT","COH","COH","COH","COH","S","S","LAT","COH","COH","COH","COH","LAT","COH","COH","COH","MAR","MAR","MAR","MARc1"
"LAT","LATc","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","S","S","S","LAT","LAT","S","S","S","S","S","S","S","S","S","S"
"S","S","S","S","S","S","S","LAT","LAT","LAT","LAT","LAT","S","S","LAT","S","S","S","LAT","COHc","COHc","MARc1"
"LAT","LAT","LAT","LAT","LAT","LAT","COH","COH","COH","COH","COH","COH","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc"
"S","LAT","S","S","COH","COH","COHc","COHc","COHc","COHc","COHc","COHc","COHc","Sc","LATc","COHc","COHc","MARc1","MARc1","MARc1","MARc1","MARc1"
"S","S","S","S","S","S","S","S","S","COH","COH","MAR","MAR","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","LAT","COH","MARc1","MARc1","MARc1","MARc1","MARc1"
"S","LAT","MAR","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","S","LAT","LAT","COH","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","LAT","LAT","LAT","LAT","COH","S","LAT","LAT","LAT","LAT","S","S","S","LAT","LAT","COH","COH","COH","COHc"
"LAT","LAT","LAT","MARc1","MARc1","MARc1","MARc1","LATc","LATc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc"
"S","S","S","S","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
